City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,puerto baquerizo moreno,-0.9,-89.6,27.55,78,40,3.09,EC,1712271008
115,le vauclin,14.5452,-60.8388,28.03,78,75,4.12,MQ,1712271156
116,ingeniero guillermo n. juarez,-23.9,-61.85,24.24,93,57,5.06,AR,1712271156
117,saldanha,-33.0117,17.9442,16.03,86,35,11.43,ZA,1712271156
118,nemuro,43.3236,145.575,2.69,73,27,4.29,JP,1712271144
119,fairbanks,64.8378,-147.7164,5.19,55,75,0.0,US,1712271041
120,vera cruz,-12.6333,-41.0333,24.76,86,64,3.45,BR,1712271157
121,jianshui,23.6363,102.8264,18.74,38,20,1.88,CN,1712271157
122,sandnessjoen,66.0217,12.6316,-3.71,65,43,8.08,NO,1712271157
123,uturoa,-16.7333,-151.4333,28.29,82,41,6.1,PF,1712271158
124,larose,29.5724,-90.3818,24.45,35,0,4.57,US,1712271049
125,golfito,8.639,-83.166,23.54,89,70,1.74,CR,1712271158
126,antsiranana,-12.2787,49.2917,26.01,83,32,6.85,MG,1712271158
127,kerikeri,-35.2268,173.9474,17.43,84,96,2.88,NZ,1712271158
128,olonkinbyen,70.9221,-8.7187,-6.03,71,100,7.36,SJ,1712271104
129,morehead city,34.7229,-76.726,16.02,46,75,7.2,US,1712271144
130,tsurugi-asahimachi,36.45,136.6333,10.17,72,100,3.72,JP,1712271159
131,arraial do cabo,-22.9661,-42.0278,24.98,83,40,2.06,BR,1712271159
132,saint-philippe,-21.3585,55.7679,24.77,86,52,3.4,RE,1712271159
133,high springs,29.8269,-82.5968,20.77,45,0,2.68,US,1712271121
134,zahedan,29.4963,60.8629,10.95,30,0,2.06,IR,1712271160
135,maceio,-9.6658,-35.7353,25.69,94,40,1.54,BR,1712270988
136,aykhal,66.0,111.5,-24.61,96,100,15.03,RU,1712271160
137,vrangel',42.7297,133.0839,4.48,58,0,2.41,RU,1712271160
138,obock,12.25,43.0833,22.36,81,35,3.65,DJ,1712271007
139,non sang,16.8687,102.5664,29.49,37,4,2.31,TH,1712271161
140,horta,38.5333,-28.6333,10.8,89,75,6.17,PT,1712271161
141,tsiombe,-25.3,45.4833,21.3,93,13,2.94,MG,1712271161
142,yallahs,17.8748,-76.5624,29.85,80,8,2.86,JM,1712271161
143,bredasdorp,-34.5322,20.0403,16.42,75,99,5.37,ZA,1712271092
144,saint-francois,46.4154,3.9054,10.38,93,0,2.06,FR,1712271161
145,ola,59.5833,151.2833,-5.48,76,96,2.71,RU,1712271162
146,hilo,19.7297,-155.09,24.6,92,100,2.57,US,1712271162
147,gisborne,-38.6533,178.0042,17.08,85,89,4.34,NZ,1712271162
148,sinabang,2.4803,96.3801,26.42,88,73,2.02,ID,1712271143
149,la'ie,21.6477,-157.9253,27.98,70,4,3.58,US,1712271122
150,nabire,-3.3667,135.4833,25.42,92,100,0.52,ID,1712271163
151,sarangani,5.4033,125.4636,27.81,79,99,10.01,PH,1712271163
152,chojna,52.9639,14.428,11.34,100,90,7.3,PL,1712271163
153,serowe,-22.3833,26.7167,18.31,89,97,2.37,BW,1712271163
154,touros,-5.1989,-35.4608,27.09,78,74,2.47,BR,1712271164
155,quellon,-43.1167,-73.6167,11.46,87,87,0.72,CL,1712271164
156,mana,5.6592,-53.7767,26.14,88,96,5.29,GF,1712271164
157,santa cruz,-17.8,-63.1667,30.03,62,20,6.69,BO,1712271024
158,qarazhal,48.0078,70.7903,4.47,67,43,3.91,KZ,1712271164
159,mount pearl,47.5166,-52.7813,1.85,97,100,5.66,CA,1712271007
160,tolanaro,-25.0319,46.9987,24.04,88,20,7.2,MG,1712271134
161,laguna,38.421,-121.4238,9.6,86,75,6.17,US,1712271120
162,lompoc,34.6391,-120.4579,13.94,60,75,7.72,US,1712271088
163,hanzhong,33.0728,107.0303,14.72,62,100,1.48,CN,1712271165
164,inyati,-19.6756,28.8469,17.68,77,51,3.81,ZW,1712271165
165,geraldton,-28.7667,114.6,20.23,28,1,8.23,AU,1712271131
166,castillos,-34.1667,-53.8333,15.59,88,33,1.93,UY,1712271166
167,shimanovsk,52.0,127.7,1.24,62,52,3.76,RU,1712271166
168,san patricio,28.017,-97.5169,31.4,29,0,6.64,US,1712271166
169,ingeniero jacobacci,-41.3427,-69.5448,10.39,63,94,8.16,AR,1712270956
170,flying fish cove,-10.4217,105.6791,24.82,94,40,1.54,CX,1712271167
171,songwa,-3.5167,33.5167,19.29,94,100,1.82,TZ,1712271167
172,coron,11.9986,120.2043,27.44,76,38,3.96,PH,1712271167
173,las terrenas,19.311,-69.5428,25.79,77,0,4.07,DO,1712271167
174,nadi,-17.8,177.4167,29.0,70,40,5.14,FJ,1712271109
175,high rock,26.6208,-78.2833,24.01,55,93,1.56,BS,1712271168
176,yilan,24.757,121.753,21.06,86,100,2.22,TW,1712271168
177,udachny,66.4167,112.4,-23.08,95,100,12.48,RU,1712271168
178,punta arenas,-53.15,-70.9167,8.06,66,75,6.17,CL,1712270993
179,chonchi,-42.6128,-73.8092,13.56,89,65,0.79,CL,1712271168
180,goundi,9.3627,17.366,32.21,22,8,1.65,TD,1712271169
181,kattivakkam,13.2167,80.3167,28.05,90,5,5.12,IN,1712271169
182,blagoveshchensk,50.2667,127.5333,0.27,55,0,3.0,RU,1712271169
183,vorgashor,67.5833,63.95,-12.33,92,100,4.99,RU,1712271097
184,buka,40.8108,69.1986,13.98,57,100,1.13,UZ,1712271169
185,isafjordur,66.0755,-23.124,-5.1,73,100,3.92,IS,1712271170
186,sipalay,9.75,122.5,26.55,74,99,2.95,PH,1712271170
187,port alfred,-33.5906,26.891,18.43,93,50,2.68,ZA,1712271170
188,quiberon,47.4841,-3.1196,13.78,83,100,11.16,FR,1712271170
189,walvis bay,-22.9575,14.5053,15.61,83,0,1.85,NA,1712271103
190,middlesboro,36.6084,-83.7166,8.57,49,100,2.06,US,1712271000
191,the pas,53.8251,-101.2541,7.01,53,75,2.06,CA,1712271171
192,lebu,-37.6167,-73.65,13.57,89,1,4.01,CL,1712271134
193,port blair,11.6667,92.75,26.02,89,100,1.03,IN,1712271171
194,buala,-8.145,159.5921,29.8,75,53,2.84,SB,1712271132
195,tokar,18.4254,37.729,26.74,72,61,4.88,SD,1712271171
196,iskateley,67.6803,53.1512,-15.55,88,100,8.49,RU,1712271134
197,georgetown,5.4112,100.3354,27.96,89,20,1.54,MY,1712271090
198,solnechnyy,50.7214,136.6319,-3.32,75,65,1.28,RU,1712271172
199,bonthe,7.5264,-12.505,26.49,83,98,3.15,SL,1712271172
200,mahibadhoo,3.7833,72.9667,28.74,70,100,1.09,MV,1712271172
201,dali,25.7,100.1833,10.96,70,0,1.44,CN,1712271172
202,madang,-5.2246,145.7966,28.27,77,86,2.18,PG,1712271173
203,windhoek,-22.5594,17.0832,19.27,80,25,2.06,NA,1712271173
204,alaghsas,17.0187,8.0168,30.86,10,0,4.46,NE,1712271111
205,santiago de cao,-7.9589,-79.2392,23.07,78,75,5.66,PE,1712271173
206,kendari,-3.945,122.4989,25.48,93,100,0.9,ID,1712271173
207,fortuna,40.5982,-124.1573,11.63,71,40,7.2,US,1712271132
208,mongo,12.1844,18.693,31.21,11,60,2.55,TD,1712271174
209,hamina,60.5697,27.1979,-5.93,70,94,3.94,FI,1712271174
210,nikolayevsk-on-amure,53.1406,140.73,-3.77,84,83,1.34,RU,1712271174
211,paoua,7.2427,16.4406,26.86,42,85,2.53,CF,1712271174
212,monrovia,6.3005,-10.7969,26.87,90,100,4.51,LR,1712271175
213,ribeira grande,38.5167,-28.7,11.22,93,75,6.17,PT,1712271175
214,aylmer,42.7668,-80.983,5.71,80,100,4.75,CA,1712271175
215,ust'-ilimsk,58.0006,102.6619,-12.53,94,63,1.34,RU,1712271095
216,vengerovo,55.6848,76.7471,2.62,90,50,3.39,RU,1712271175
217,nagqu,31.5,92.0,-1.57,40,82,6.53,CN,1712271175
218,lugoba,-6.45,38.3333,22.31,98,100,1.75,TZ,1712271176
219,sao joao da barra,-21.6403,-41.0511,24.05,86,0,2.53,BR,1712271176
220,el calafate,-50.3408,-72.2768,5.68,73,76,3.97,AR,1712270980
221,le grazie di ancona,43.6008,13.5153,15.14,81,49,1.54,IT,1712271176
222,pisco,-13.7,-76.2167,25.03,73,0,9.77,PE,1712271083
223,grand falls-windsor,48.9332,-55.6649,0.28,94,100,2.24,CA,1712271177
224,brokopondo,4.75,-55.1667,25.96,88,83,5.33,SR,1712271177
225,tarauaca,-8.1614,-70.7656,24.78,93,44,0.68,BR,1712271136
226,greenland,43.0362,-70.8328,2.14,89,100,7.72,US,1712271149
227,collie,-33.3667,116.15,14.43,48,40,2.49,AU,1712271177
228,sigayevo,56.4216,53.7757,5.83,89,100,3.85,RU,1712271178
229,labytnangi,66.6572,66.4183,-12.01,94,98,3.45,RU,1712271178
230,nhamunda,-2.1861,-56.7131,26.36,86,78,0.64,BR,1712271178
231,castelli,-25.9468,-60.6195,25.15,89,66,3.24,AR,1712271178
232,hotan,37.0997,79.9269,11.23,24,94,2.29,CN,1712271147
233,sinjai,-5.1241,120.253,24.29,83,99,2.25,ID,1712271130
234,kadom,54.5592,42.4675,6.22,90,100,5.67,RU,1712271179
235,kailua-kona,19.6406,-155.9956,26.98,78,40,4.12,US,1712271179
236,naze,28.3667,129.4833,17.51,94,100,1.54,JP,1712271179
237,ampanihy,-24.7,44.75,22.76,64,0,2.59,MG,1712271179
238,chelghoum el aid,36.1629,6.1665,14.32,83,5,1.62,DZ,1712271179
239,nova sintra,14.8667,-24.7167,24.01,79,4,6.9,CV,1712271089
240,izazi,-7.2,35.7333,21.38,91,100,0.79,TZ,1712271180
241,chul'man,56.8479,124.9104,-8.73,94,97,2.24,RU,1712271180
242,sault ste. marie,46.5168,-84.3333,6.31,65,100,8.23,CA,1712271050
243,bokhan,53.153,103.7714,3.3,97,100,6.89,RU,1712271180
244,neftcala,39.3742,49.2472,12.41,67,30,4.67,AZ,1712271181
245,itacare,-14.2775,-38.9967,27.2,84,45,3.46,BR,1712271137
246,fauske,67.2588,15.3918,-3.98,88,4,4.62,NO,1712271181
247,point fortin,10.1833,-61.6833,28.83,75,57,6.38,TT,1712271181
248,tazovsky,67.4667,78.7,-19.95,93,100,4.83,RU,1712271181
249,necochea,-38.5473,-58.7368,17.04,58,1,2.36,AR,1712271066
250,gersheim,49.15,7.2,12.82,92,92,3.09,DE,1712271182
251,les sables-d'olonne,46.6667,-1.8333,14.44,77,100,9.36,FR,1712271182
252,ust'-labinsk,45.2125,39.6864,9.11,70,87,0.22,RU,1712271182
253,wad rawah,15.1603,33.1397,30.84,13,97,4.57,SD,1712271183
254,stanley,54.868,-1.6985,4.04,94,75,3.09,GB,1712271017
255,talnakh,69.4865,88.3972,-29.89,90,59,2.56,RU,1712271116
256,atafu village,-8.5421,-172.5159,29.35,76,6,5.16,TK,1712271183
257,hami,42.8,93.45,9.03,37,99,2.86,CN,1712271183
258,rio grande,-32.035,-52.0986,21.06,93,100,3.37,BR,1712270992
259,sitka,57.0531,-135.33,7.94,49,40,4.12,US,1712271094
260,maragogi,-9.0122,-35.2225,27.26,82,100,3.02,BR,1712271184
261,san miguel,13.4833,-88.1833,31.81,74,75,1.54,SV,1712270492
262,uberlandia,-18.9186,-48.2772,27.56,57,20,1.54,BR,1712271046
263,aasiaat,68.7098,-52.8699,-6.76,93,100,1.1,GL,1712271184
264,richards bay,-28.783,32.0377,23.04,90,48,3.64,ZA,1712271185
265,salinopolis,-0.6136,-47.3561,26.98,83,37,4.68,BR,1712271128
266,teknaf,20.8624,92.3058,24.59,92,17,0.75,BD,1712271185
267,antofagasta,-23.65,-70.4,19.6,90,88,3.03,CL,1712271141
268,eghezee,50.5851,4.9028,12.82,86,100,5.59,BE,1712271186
269,preobrazheniye,42.9019,133.9064,6.35,48,0,2.45,RU,1712271186
270,buta,2.7858,24.73,21.87,96,97,0.64,CD,1712271186
271,lepsy,46.235,78.9456,6.26,56,1,5.35,KZ,1712271186
272,myrina,39.8797,25.0742,10.58,82,0,0.0,GR,1712271186
273,obolensk,54.9774,37.2245,2.05,81,100,2.54,RU,1712271187
274,pavlohrad,48.5167,35.8667,7.23,64,75,3.63,UA,1712271187
275,kilinochchi,9.3961,80.3982,23.66,94,34,1.94,LK,1712271187
276,sturgeon bay,44.8342,-87.377,4.2,81,100,5.14,US,1712271187
277,ban na san,8.8004,99.3637,25.79,91,70,1.44,TH,1712271187
278,kurumkan,54.3,110.3,-1.6,87,100,2.68,RU,1712271188
279,canyon,34.9803,-101.9188,29.47,11,0,4.02,US,1712271188
280,shache,38.4167,77.2406,13.38,23,100,3.28,CN,1712271188
281,hamilton,39.1834,-84.5333,6.81,82,100,8.23,US,1712271092
282,anadyr,64.75,177.4833,-11.72,84,20,8.0,RU,1712271188
